numeroFiscal,montant,pdfUrl,annee
Maurene,6834,https://pdf.com,2018
Halette,5749,https://pdf.com,2018
Hope,9440,https://pdf.com,2007
Henriette,6281,https://pdf.com,2011
Lanna,5004,https://pdf.com,2014
Gavrielle,9542,https://pdf.com,2008
Helena,9436,https://pdf.com,2006
Lorenza,4328,https://pdf.com,2006
Carly,185,https://pdf.com,2005
Ninnetta,1616,https://pdf.com,2021
Imojean,7563,https://pdf.com,2015
Daryl,2900,https://pdf.com,2010
Marguerite,3410,https://pdf.com,2022
Britni,6550,https://pdf.com,2005
Aubrie,4020,https://pdf.com,2012
Elyssa,6534,https://pdf.com,2021
Mathilda,2655,https://pdf.com,2005
Loree,5914,https://pdf.com,2009
Vinita,5221,https://pdf.com,2014
Katharina,3022,https://pdf.com,2018
Noelle,4302,https://pdf.com,2022
Stacey,375,https://pdf.com,2007
Joelly,3275,https://pdf.com,2019
Brandise,6060,https://pdf.com,2007
Jemie,183,https://pdf.com,2022
Vere,3468,https://pdf.com,2023
Joane,302,https://pdf.com,2017
Ardeen,2733,https://pdf.com,2015
Katuscha,563,https://pdf.com,2015
Ninnetta,2014,https://pdf.com,2017
Tersina,9515,https://pdf.com,2008
Paulita,5275,https://pdf.com,2009
Addia,7348,https://pdf.com,2005
Winny,4467,https://pdf.com,2007
Mara,6714,https://pdf.com,2021
Dorothy,5088,https://pdf.com,2016
Winifred,4070,https://pdf.com,2023
Pamella,6266,https://pdf.com,2014
Paule,7968,https://pdf.com,2020
Nickie,4611,https://pdf.com,2024
Sheelagh,4997,https://pdf.com,2012
Marika,777,https://pdf.com,2018
Tamqrah,3709,https://pdf.com,2009
Quintina,1406,https://pdf.com,2006
Carly,3455,https://pdf.com,2012
Jasmina,5237,https://pdf.com,2009
Jennica,9501,https://pdf.com,2007
Pearline,8570,https://pdf.com,2005
Nannie,4355,https://pdf.com,2011
Ethel,4405,https://pdf.com,2011
Candi,7745,https://pdf.com,2010
Lolita,6609,https://pdf.com,2013
Joleen,199,https://pdf.com,2005
Lindie,7628,https://pdf.com,2005
Hermione,2792,https://pdf.com,2007
Ileana,8742,https://pdf.com,2013
Valeda,6585,https://pdf.com,2019
Jaclyn,6371,https://pdf.com,2013
Madelle,1221,https://pdf.com,2016
Joelly,199,https://pdf.com,2006
Rhoda,8994,https://pdf.com,2016
Arlena,2487,https://pdf.com,2013
Marinna,5706,https://pdf.com,2021
Elsie,318,https://pdf.com,2024
Sheelagh,1959,https://pdf.com,2018
Jenilee,3696,https://pdf.com,2012
Jinny,3138,https://pdf.com,2010
Coral,2078,https://pdf.com,2010
Lolita,5788,https://pdf.com,2008
Gertrud,9180,https://pdf.com,2013
Modestia,6397,https://pdf.com,2016
Gwyneth,5307,https://pdf.com,2005
Bibby,3374,https://pdf.com,2019
Hope,1741,https://pdf.com,2012
Ana,1884,https://pdf.com,2017
Marcy,4177,https://pdf.com,2012
Cindelyn,3122,https://pdf.com,2009
Bettine,5558,https://pdf.com,2014
Ruthe,1712,https://pdf.com,2018
Evita,8930,https://pdf.com,2014
Georgetta,7828,https://pdf.com,2015
Aili,6467,https://pdf.com,2017
Rebeca,682,https://pdf.com,2024
Marcelline,5651,https://pdf.com,2014
Mary,8300,https://pdf.com,2010
Violet,4036,https://pdf.com,2017
Modestia,6810,https://pdf.com,2014
Claudina,5511,https://pdf.com,2023
Emma,4241,https://pdf.com,2014
Tobe,9141,https://pdf.com,2009
Karly,1827,https://pdf.com,2024
Dorice,7683,https://pdf.com,2006
Sarette,7602,https://pdf.com,2011
Tatiania,4125,https://pdf.com,2014
Corina,2852,https://pdf.com,2020
Maurene,6724,https://pdf.com,2011
Mallory,533,https://pdf.com,2005
Hallie,4717,https://pdf.com,2020
Lorne,3393,https://pdf.com,2009
Orsola,3022,https://pdf.com,2017
Violet,3166,https://pdf.com,2014
Althea,6086,https://pdf.com,2014
Cecile,9563,https://pdf.com,2022
Carol-Jean,1459,https://pdf.com,2021
Nonnah,780,https://pdf.com,2017
Joane,6784,https://pdf.com,2009
Delilah,5854,https://pdf.com,2024
Helena,9654,https://pdf.com,2024
Ericka,4569,https://pdf.com,2020
Jaime,9969,https://pdf.com,2006
Karlee,7966,https://pdf.com,2018
Vanessa,7744,https://pdf.com,2024
Priscilla,3106,https://pdf.com,2012
Joane,6673,https://pdf.com,2014
Elena,38,https://pdf.com,2019
Aurelie,5160,https://pdf.com,2023
Blake,5767,https://pdf.com,2012
Correy,9190,https://pdf.com,2005
Misha,7234,https://pdf.com,2017
Sherrie,8941,https://pdf.com,2016
Leanna,7242,https://pdf.com,2022
Jemie,8637,https://pdf.com,2014
Catharine,223,https://pdf.com,2021
Lusa,4424,https://pdf.com,2022
Lacie,5351,https://pdf.com,2005
Gusty,4184,https://pdf.com,2024
Zia,6477,https://pdf.com,2020
Emylee,6313,https://pdf.com,2013
